"Index","Lokacija","Razina","Jedinica samouprave","Godina","Vrsta","Klasifikacija","Razred","Razred opis","Skupina","Skupina opis","Podskupina","Podskupina opis","Iznos"
"88","Grad Zagreb","21","županija","2002","rashod","funkcijska","08","Rekreacija, kultura i religija","086","Rashodi za rekreaciju, kulturu i religiju koji nisu drugdje svrstani","","","11432839"
"89","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","091","Predškolsko i osnovno obrazovanje","0911","Predškolsko obrazovanje","450615607"
"90","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","091","Predškolsko i osnovno obrazovanje","0912","Osnovno obrazovanje","122497316"
"91","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","092","Srednjoškolsko obrazovanje","0921","Niže srednjoškolsko obrazovanje","55810060"
"92","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","092","Srednjoškolsko obrazovanje","0922","Više srednjoškolsko obrazovanje","0"
"93","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","093","Poslije srednjoškolsko, ali ne visoko obrazovanje","","","0"
"94","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","094","Visoka naobrazba","0941","Prvi stupanj visoke naobrazbe","151500"
"95","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","094","Visoka naobrazba","0942","Drugi stupanj visoke naobrazbe","0"
"96","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","095","Obrazovanje koje se ne može definirati po stupnju","","","19737763"
"97","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","096","Dodatne usluge u obrazovanju","","","0"
"98","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","097","Istraživanje i razvoj obrazovanja","","","0"
"99","Grad Zagreb","21","županija","2002","rashod","funkcijska","09","Obrazovanje","098","Usluge obrazovanja koje nisu drugdje svrstane","","","729591"
"100","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","101","Bolest i invaliditet","1011","Bolest","0"
"101","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","101","Bolest i invaliditet","1012","Invaliditet","18192920"
"102","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","102","Starost","","","114675284"
"103","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","103","Sljednici","","","130811"
"104","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","104","Obitelj i djeca","","","4494453"
"105","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","105","Nezaposlenost","","","0"
"106","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","106","Stanovanje","","","0"
"107","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","107","Socijalna pomoć stanovništvu koje nije obuhvaćeno redovnim socijalnim programima","","","14474336"
"108","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","108","Istraživanje i razvoj socijalne zaštite","","","0"
"109","Grad Zagreb","21","županija","2002","rashod","funkcijska","10","Socijalna zaštita","109","Aktivnosti socijalne zaštite koje nisu drugdje svrstane","","","29882910"
"110","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","011","Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi","0111","Izvršna i zakonodavna tijela","486245506"
"111","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","011","Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi","0112","Financijski i fiskalni poslovi","11643272"
"112","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","011","Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi","0113","Vanjski poslovi","0"
"113","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","012","Inozemna ekonomska pomoć","0121","Ekonomska pomoć zemljama u razvoju i zemljama u tranziciji","0"
"114","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","012","Inozemna ekonomska pomoć","0122","Ekonomska pomoć usmjerena preko međunarodnih agencija","0"
"115","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","013","Opće usluge","0131","Opće usluge vezane za službenike","0"
"116","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","013","Opće usluge","0132","Sveukupno planiranje i statističke usluge","0"
"117","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","013","Opće usluge","0133","Ostale opće usluge","25810716"
"118","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","014","Osnovna istraživanja","","","0"
"119","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","015","Istraživanje i razvoj: Opće javne usluge","","","0"
"120","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","016","Opće javne usluge koje nisu drugdje svrstane","","","53037"
"121","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","017","Transakcije vezane za javni dug","","","32667206"
"122","Grad Zagreb","21","županija","2003","rashod","funkcijska","01","Opće javne usluge","018","Prijenosi općeg karaktera između različitih državnih razina","","","18991051"
"123","Grad Zagreb","21","županija","2003","rashod","funkcijska","02","Obrana","021","Vojna obrana","","","0"
"124","Grad Zagreb","21","županija","2003","rashod","funkcijska","02","Obrana","022","Civilna obrana","","","0"
"125","Grad Zagreb","21","županija","2003","rashod","funkcijska","02","Obrana","023","Inozemna vojna pomoć","","","0"
"126","Grad Zagreb","21","županija","2003","rashod","funkcijska","02","Obrana","024","Istraživanje i razvoj obrane","","","0"
"127","Grad Zagreb","21","županija","2003","rashod","funkcijska","02","Obrana","025","Rashodi za obranu koji nisu drugdje svrstani","","","0"
"128","Grad Zagreb","21","županija","2003","rashod","funkcijska","03","Javni red i sigurnost","031","Usluge policije","","","0"
"129","Grad Zagreb","21","županija","2003","rashod","funkcijska","03","Javni red i sigurnost","032","Usluge protupožarne zaštite","","","50500000"
"130","Grad Zagreb","21","županija","2003","rashod","funkcijska","03","Javni red i sigurnost","033","Sudovi","","","5978713"
"131","Grad Zagreb","21","županija","2003","rashod","funkcijska","03","Javni red i sigurnost","034","Zatvori","","","0"
"132","Grad Zagreb","21","županija","2003","rashod","funkcijska","03","Javni red i sigurnost","035","Istraživanje i razvoj: Javni red i sigurnost","","","0"
"133","Grad Zagreb","21","županija","2003","rashod","funkcijska","03","Javni red i sigurnost","036","Rashodi za javni red i sigurnost koji nisu drugdje svrstani","","","503000"
"134","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","041","Opći ekonomski, trgovački i poslovi vezani uz rad","0411","Opći ekonomski i trgovački poslovi","39306153"
"135","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","041","Opći ekonomski, trgovački i poslovi vezani uz rad","0412","Opći poslovi vezani uz rad","0"
"136","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","042","Poljoprivreda, šumarstvo, ribarstvo i lov","0421","Poljoprivreda","6017176"
"137","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","042","Poljoprivreda, šumarstvo, ribarstvo i lov","0422","Šumarstvo","481925"
"138","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","042","Poljoprivreda, šumarstvo, ribarstvo i lov","0423","Ribarstvo i lov","411668"
"139","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0431","Ugljen i ostala kruta mineralna goriva","0"
"140","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0432","Nafta i prirodni plin","0"
"141","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0433","Nuklearno gorivo","0"
"142","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0434","Ostala goriva","0"
"143","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0435","Električna energija","0"
"144","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","043","Gorivo i energija","0436","Ostale vrste energije","0"
"145","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","044","Rudarstvo, proizvodnja i građevinarstvo","0441","Rudarstvo, mineralni resursi i ostala mineralna goriva","23953"
"146","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","044","Rudarstvo, proizvodnja i građevinarstvo","0442","Proizvodnja","0"
"147","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","044","Rudarstvo, proizvodnja i građevinarstvo","0443","Građevinarstvo","0"
"148","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0451","Cestovni promet","161620179"
"149","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0452","Promet vodnim potovima","0"
"150","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0453","Željeznički promet","68135692"
"151","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0454","Zračni promet","0"
"152","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","045","Promet","0455","Promet cjevovodima i ostali promet","554235032"
"153","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","046","Komunikacije","","","0"
"154","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","047","Ostale industrije","0471","Distribucija i skladištenje","0"
"155","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","047","Ostale industrije","0472","Hoteli i restorani","0"
"156","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","047","Ostale industrije","0473","Turizam","0"
"157","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","047","Ostale industrije","0474","Višenamjenski razvojni projekti","0"
"158","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0481","Istraživanje i razvoj: Opći ekonomski, trgovački i poslovi vezani uz rad","0"
"159","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0482","Istraživanje i razvoj: Poljoprivreda, šumarstvo, ribarstvo i lov","0"
"160","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0483","Istraživanje i razvoj: Gorivo i energija","0"
