Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razred,Razred opis,Skupina,Skupina opis,Podskupina,Podskupina opis,Iznos
1057,Grad Zagreb,županija,2011,rashod,funkcijska,10,Socijalna zaštita,101,Bolest i invaliditet,1011,Bolest,0
1058,Grad Zagreb,županija,2011,rashod,funkcijska,10,Socijalna zaštita,101,Bolest i invaliditet,1012,Invaliditet,49290264
1059,Grad Zagreb,županija,2012,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0111,Izvršna i zakonodavna tijela,676778044
1060,Grad Zagreb,županija,2012,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0112,Financijski i fiskalni poslovi,0
1061,Grad Zagreb,županija,2012,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0113,Vanjski poslovi,3833532
1062,Grad Zagreb,županija,2012,rashod,funkcijska,01,Opće javne usluge,012,Inozemna ekonomska pomoć,0121,Ekonomska pomoć zemljama u razvoju i zemljama u tranziciji,0
1063,Grad Zagreb,županija,2012,rashod,funkcijska,01,Opće javne usluge,012,Inozemna ekonomska pomoć,0122,Ekonomska pomoć usmjerena preko međunarodnih agencija,0
1064,Grad Zagreb,županija,2012,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0131,Opće usluge vezane za službenike,0
1065,Grad Zagreb,županija,2012,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0132,Sveukupno planiranje i statističke usluge,0
1066,Grad Zagreb,županija,2012,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0133,Ostale opće usluge,0
1067,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,041,"Opći ekonomski, trgovački i poslovi vezani uz rad",0411,Opći ekonomski i trgovački poslovi,0
1068,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,041,"Opći ekonomski, trgovački i poslovi vezani uz rad",0412,Opći poslovi vezani uz rad,0
1069,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0421,Poljoprivreda,30902580
1070,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0422,Šumarstvo,0
1071,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0423,Ribarstvo i lov,0
1072,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,,,3112037
1073,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0431,Ugljen i ostala kruta mineralna goriva,0
1074,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0432,Nafta i prirodni plin,0
