Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razred,Razred opis,Skupina,Skupina opis,Podskupina,Podskupina opis,Iznos
8113,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,012,Inozemna ekonomska pomoć,0121,Ekonomska pomoć zemljama u razvoju i zemljama u tranziciji,0
8114,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,012,Inozemna ekonomska pomoć,0122,Ekonomska pomoć usmjerena preko međunarodnih agencija,0
8115,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0131,Opće usluge vezane za službenike,26637779
8116,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0132,Sveukupno planiranje i statističke usluge,0
8117,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,013,Opće usluge,0133,Ostale opće usluge,1785804
8118,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,014,Osnovna istraživanja,,,0
8119,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,015,Istraživanje i razvoj: Opće javne usluge,,,3507333
8120,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,016,Opće javne usluge koje nisu drugdje svrstane,,,0
8121,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,017,Transakcije vezane za javni dug,,,4874946
8122,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,018,Prijenosi općeg karaktera između različitih državnih razina,,,127574
8123,Primorsko-goranska,županija,2003,rashod,funkcijska,02,Obrana,021,Vojna obrana,,,0
8124,Primorsko-goranska,županija,2003,rashod,funkcijska,02,Obrana,022,Civilna obrana,,,0
8125,Primorsko-goranska,županija,2003,rashod,funkcijska,02,Obrana,023,Inozemna vojna pomoć,,,0
8126,Primorsko-goranska,županija,2003,rashod,funkcijska,02,Obrana,024,Istraživanje i razvoj obrane,,,0
8127,Primorsko-goranska,županija,2003,rashod,funkcijska,02,Obrana,025,Rashodi za obranu koji nisu drugdje svrstani,,,0
8128,Primorsko-goranska,županija,2003,rashod,funkcijska,03,Javni red i sigurnost,031,Usluge policije,,,0
8129,Primorsko-goranska,županija,2003,rashod,funkcijska,03,Javni red i sigurnost,032,Usluge protupožarne zaštite,,,3145000
8130,Primorsko-goranska,županija,2003,rashod,funkcijska,03,Javni red i sigurnost,033,Sudovi,,,0
8131,Primorsko-goranska,županija,2003,rashod,funkcijska,03,Javni red i sigurnost,034,Zatvori,,,0
8132,Primorsko-goranska,županija,2003,rashod,funkcijska,03,Javni red i sigurnost,035,Istraživanje i razvoj: Javni red i sigurnost,,,0
8133,Primorsko-goranska,županija,2003,rashod,funkcijska,03,Javni red i sigurnost,036,Rashodi za javni red i sigurnost koji nisu drugdje svrstani,,,205936
8134,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,041,"Opći ekonomski, trgovački i poslovi vezani uz rad",0411,Opći ekonomski i trgovački poslovi,0
8135,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,041,"Opći ekonomski, trgovački i poslovi vezani uz rad",0412,Opći poslovi vezani uz rad,0
8136,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0421,Poljoprivreda,0
8137,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0422,Šumarstvo,0
8138,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,042,"Poljoprivreda, šumarstvo, ribarstvo i lov",0423,Ribarstvo i lov,2081095
8139,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0431,Ugljen i ostala kruta mineralna goriva,0
8140,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0432,Nafta i prirodni plin,0
8141,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0433,Nuklearno gorivo,0
8142,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0434,Ostala goriva,0
8143,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0435,Električna energija,0
8144,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0436,Ostale vrste energije,0
